code,lat,lon
IPSWICH,52.0505923448,1.14442571019
KEWGRDN2,51.4770158384,-0.2848108648
GNRSBRY2,51.4915715618,-0.2748005906
WLSDJHL,51.5324966125,-0.2445478144
STFD,51.5418950672,-0.0033966567
PRST,53.7568593662,-2.7081278688
DALS,51.5461156330,-0.0751374900
SHRDHST,51.5233752488,-0.0752461012
WCHAPEL,51.5194690651,-0.0597570433
SHADWEL,51.5112840323,-0.0569342908
WAPPING,51.5043880542,-0.0559308158
RTHERHI,51.5008165093,-0.0520484962
CNDAW,51.4979900886,-0.0497197540
SURREYQ,51.4931963543,-0.0475185810
CHINGFD,51.6330866720,0.00989712465
DIDCOTP,51.6109543510,-1.2428934327
DLTN,54.5204478657,-1.5473238242
RDNGBUS,51.4581459547,-0.9716616605
HTRBUS5,51.4712507857,-0.4893687711
CPNHRST2,53.2592690172,-2.9429994490
GIDEAPK,51.5819039979,0.20596439507
BASILDN,51.5681064873,0.45678896530
LHONSEA,51.5412732458,0.64041138603
STHCENT,51.5370646017,0.71172670882
HGHI,51.5462178936,-0.1035023390
FELTHAM,51.4478983778,-0.4098381620
KLYNN,52.7539240046,0.40344668326
MAESTGW,51.6099383492,-3.6546455901
HROWDC,51.5921776716,-0.3345710714
CRPNDPK,51.6283511510,-0.3859390315
BLKRDGE,55.8842513938,-3.7507966685
CLDRCRX,55.8879429780,-3.8877110868
SOLIHUL,52.4143907008,-1.7883905422
OXFPWAY,51.8040713042,-1.2744858606
APERLYB,53.8417489717,-1.7058284800
MRKSTEY,51.8809389452,0.78332750841
PINHOE,50.7377848935,-3.4693329310
EBWVTN,51.7766879044,-3.2025769212
ABDARE,51.7150579061,-3.4430834461
LIPHOOK,51.0713162218,-0.8002284029
SHWFAIR,55.9199388694,-3.0787119810
ESKBANK,55.8818024200,-3.0830730127
NWTGRNG,55.8669974593,-3.0693657967
GOREBRG,55.8402735165,-3.0465153647
GALASLS,55.6178991940,-2.8059544261
TWDBANK,55.6054479787,-2.7576048848
LUDO,53.3209164662,-3.8270011702
HTRWCBS,51.4710954070,-0.4533064324
APPLEFD,51.6396412157,-1.2421414036
EBSFDOM,51.4429732029,0.32092093528
RHYMNEY,51.7588374004,-3.2892983394
NABT,50.5295855374,-3.5991668037
IVYBDGE,50.3934121777,-3.9042041287
WATRLMN2,51.5038510955,-0.1150312761
SVRNBCH,51.5600268065,-2.6644767242
ABDO,56.0545919115,-3.3005600173
STRCROS,50.6277977558,-3.4477042229
STAUSTL,50.3395170409,-4.7893588648
SADWRD,51.5127713508,-2.6963129955
STOW,55.6923153222,-2.8668852557
MNCRPIC2,53.4768125777,-2.2311781219
BARLSOP,52.9418603833,-2.1715891996
STONEGS,52.9034086222,-2.1483035875
DLWYDLN,53.0520123701,-3.8851321661
BETSYCD,53.0920664543,-3.8008613362
TALYCFN,53.2283627664,-3.8182631258
BRTHMBR,53.6889186312,-0.4434366557
KRKSLFR,53.8237197044,-1.6224792693
