code,description,type,lat,lon
BIRCHWD,BIRCHWOOD,station,53.412725372521315,-2.525338068171713
EMPKAIR,EAST MIDLANDS AIRPT(BUS),station,,
SLSBYWE,SALISBURY WEST END,junction,51.074893253839996,-1.7977472747813648
WALTONJ,WALTON JN,junction,53.45511712685409,-2.966851620642746
TOTTON,TOTTON,station,50.917604648947844,-1.483316597649878
LEED929,LEEDS SIG L929,junction,53.792268879475294,-1.5567141028142693
MRPTREC,MORPETH RECP.,junction,55.162751679317665,-1.6794143735152196
WALTONM,WALTON (LIVERPOOL),station,53.456373047493074,-2.966051842560659
HORSDL,HORSHAM DOWN LOOP,junction,51.06276700580796,-0.32207186259852943
DONCBJN,BRIDGE JN,junction,53.51474171224379,-1.1399197946379003
MLDSWTH,MOULDSWORTH,station,53.23180436496193,-2.7321644947463084
MLDSWTJ,MOULDSWORTH JN,junction,53.23180436496193,-2.7321644947463084
WKFLDKG,WAKEFIELD KIRKGATE,station,53.67854196337789,-1.4889655754113051
LINFST,LINFORD STREET JN,junction,51.47453763518602,-0.14177083735321871
STNGV31,SITTINGBOURNE SIG EV31,junction,51.34056603866723,0.7441496774450398
AVONCOL,AVONMOUTH COAL SILO(COLAS),junction,,
MSSD,MOSS SIDE,station,53.764345111160864,-2.9429658905936362
PNMN19,PENMAENMAWR SIG.PR19,junction,53.26234630677449,-3.9686077538850637
BRONLPT,ANGERSTEIN WHARF (BARDON),junction,51.4906880122616,0.019761571541229248
LMNGDDS,LEAMINGTON SPA DOWN DOCK,junction,52.284510713038586,-1.5372359412088643
SHEFFLD,SHEFFIELD,station,53.37811917014533,-1.4620670105135636
BSDN,BEARSDEN,station,55.917061071287975,-4.332240102716114
WHATLYQ,WHATLEY QUARRY,junction,51.24620595584214,-2.3542506124796274
FRATCSD,FRATTON C.S.D.,junction,50.79589289969894,-1.0724023124879842
RDNGSTN,READING,station,51.45905090572673,-0.9725193526866759
VALADOL,VALLADOLID,junction,,
TINS258,TINSLEY YD SIG TY258,junction,,
RDNGSTJ,READING SOUTHERN JN,junction,51.457925351214385,-0.9510120470742429
DONCGPS,GOLDTHORPE POLICE STATION,junction,,
HABRO,HABROUGH,station,53.605983339821925,-0.26875464083595274
WCHR,WHITCHURCH (SHROPS),station,52.96806733595921,-2.6716983118185897
HARSLP,HARESFIELD LOOP,junction,51.78978836659808,-2.2722743984080607
GRVPRCP,GROVE PARK DOWN RECEPTION,junction,51.442800000530134,0.009387956640695331
IPSWTFP,IPSWICH TOP YARD F.P.,junction,52.05029516531289,1.1450321322744343
PRKSDTS,PARKESTON DN THROUGH SDG.,junction,51.94465634464399,1.2373673256576663
ENFL531,ENFIELD TOWN SIGNAL L5531,junction,51.67051633556846,-0.028578921651235753
WEEDBCE,BLISWORTH C.E. SDGS,junction,52.18461083047173,-0.9467265710232214
WSUTTON,WEST SUTTON,station,51.36599074397467,-0.20483750870581197
TLBYPDR,TILBURY I.R.F.T (DRS),junction,51.45243543869621,0.3643953621273248
UDNGTNJ,UDDINGSTON JN,junction,55.823688713112,-4.083497363838618
WDND478,WOOD END SIGNAL TB 3478,junction,52.34414615492935,-1.8443882129896303
ABRYSHE,ABERYSTWYTH SHELL SDGS,junction,52.41052246021124,-4.0765519846855875
ELDRSCE,ELDERSLIE C.E.,junction,55.83877354639787,-4.474157685127885
MNKBRRG,MONK BRETTON REDFEARNS GBR,junction,,
MNKBRRF,MONK BRETTON REDFEARNS,junction,53.572028455819165,-1.4383934914115386
HLBDGJN,HIGH LEVEL BRIDGE JN,junction,54.96621294283563,-1.6076479309689213
BSAUEJN,BP.AUCKLAND E JN.,junction,,
BORWDNL,BOROUGH GREEN DOWN LOOP,junction,51.292815915154314,0.2946351171957244
SHLIERG,ST HELIER GROUND FRAME,junction,51.386542498919304,-0.2003828612307056
NNTNANJ,CANAL FARM JUNCTION,junction,52.543176901372625,-1.4895929390709073
HNTL,HUNTLY,station,57.444415605992475,-2.7758051165993454
TEESY,TEES N.Y.,junction,54.56130836032286,-1.2889747140615562
GRSTNCR,GARSTON CHURCH ROAD,junction,53.35261342530528,-2.897043560109638
PORTBCE,BAILEYFIELD C.E.,junction,55.953014658292396,-3.122776501378544
CRYSTLP,CRYSTAL PALACE,station,51.417843951014746,-0.07246274211556818
CHNLYSJ,CHINLEY SOUTH JN,junction,53.32688929998684,-1.9181040458744893
CREWDED,CREWE TMD (D),junction,53.085319939778515,-2.4322836241780825
HALGRPC,HALLING R.P.C.,junction,51.35631629446346,0.44535177195975
WRUIGJN,RUISLIP GARDENS JUNCTION,junction,51.565621205947494,-0.4250540326133615
WENHNGR,WESTENHANGER,station,51.09506922926317,1.0372568901803507
THEGRN,THE GREEN,junction,,
KNGSBSF,KINGSBURY S.F.,junction,52.571278192542536,-1.6788212276203884
NWTNLW,NEWTON-LE-WILLOWS,station,53.45310467960737,-2.613433081161423
CBE4415,CANTERBURY E SIGNAL EK4415,junction,51.27541954469684,1.0693629928766641
DMARBSC,DEE MARSH B.S.C.,junction,53.22141218275062,-3.029038346862732
MUROUS,MUIR OF ORD UP SIDING,junction,57.51593448367695,-4.460154215593408
DLTNDBP,DARLINGTON DOWN BYPASS,junction,54.519727315027474,-1.5473163463305004
INVERKP,INVERKIP,station,55.90583775026822,-4.874326665709316
BARRICR,BARRY ISLAND COLAS RAIL,junction,,
OXFDUCS,OXFORD UP CARRIAGE SDGS,junction,51.75975581690292,-1.2721968791824225
DUNDWRL,DUNDEE WEST RECEPTION LINE,junction,,
INGTSTN,INGATESTONE,station,51.66707324000811,0.3844364249851982
LACKNBY,LACKENBY B.S.C.,junction,54.60027501037172,-1.129200873120482
LNGBKBY,LONG BUCKBY,station,52.29428702043074,-1.085830428085188
LLFAIRC,LLANFAIR CAEREINION,junction,,
BESJGL,BEDFORD ST JOHNS G.L.,junction,52.13048331585876,-0.4709582253223757
BSAUWCP,WOLSINGHAM COAL HANDLING P,junction,54.657185386708846,-1.6779630016850642
WSTBTCR,WESTBURY TARMAC COLAS RAIL,junction,,
MPRT,MARYPORT,station,54.711317380547804,-3.494105365073103
PLMDCMD,POLMADIE CAR M.D.,junction,55.83609310580591,-4.239821735955552
HROW307,HARROW D.C. TURNBACK WS307,junction,51.592010387060746,-0.33431733036505057
FIFOTPS,USKMOUTH POWER STATION,junction,51.56008583391187,-2.960747739134452
WHALYBG,WHALEY BRIDGE,station,53.33025107601539,-1.984735134590731
TOTON04,TOTON SIGNAL 4604,junction,58.25884443626708,-3.941066575820828
BLCKPLN,BLACKPOOL NORTH,station,53.82299911464687,-3.0484358401269485
HETNLJN,HEATON LODGE JN,junction,53.679595688036436,-1.7177376461755007
HUNMNBY,HUNMANBY,station,54.17410267505182,-0.31447294285361116
ORPN009,ORPINGTON SHUNT SIG 2009,junction,51.37357851842499,0.08877293803725801
OXLEYCS,OXLEY CAR. M.D.,junction,52.60541688649134,-2.1372227404015764
MRGMT33,MARGAM UP GDS SIG PT33,junction,51.543127847707034,-3.7431892827928683
BUCVBUS,BUCKINGHAM TESCO,junction,,
YTMNSTR,YETMINSTER,station,50.895654264827385,-2.5738680521286215
STPX,LONDON ST PANCRAS,station,51.530965341883125,-0.1259214106528589
TUNWELL,TUNBRIDGE WELLS,station,51.1299403219193,0.2630104492071101
DOVRCRT,DOVERCOURT,station,51.938814926660164,1.2806895081438647
TORIORB,TORINO ORBASSANO,junction,,
PRTCFHH,PORT CLARENCE (FLHH),junction,54.59272483832865,-1.2116963112991064
HONYBTP,HONEYBOURNE CCE TIP,junction,52.09895173704307,-1.818964439813912
CLFDOWN,CLIFTON DOWN (BRISTOL),station,51.46444621011386,-2.611307674734548
HULLARJ,ANLABY ROAD JN,junction,53.74396145457106,-0.36676556670314964
SWANMCS,SWANSEA MALIPHANT CSD,junction,51.63383247138559,-3.935992439365906
LAWJDS,LAW JN DOWN SIDINGS,junction,55.75444965785475,-3.8726505252140337
HNTRGBF,HUNTERSTON (GBRF),junction,55.73309974276178,-4.872156098097436
CWLRSWJ,COWLAIRS WEST JN,junction,55.883255758749016,-4.238524884300663
KTON,KENTON,station,51.58140683579695,-0.31654800326173305
MAR5124,MARGATE SIGNAL EK5124,junction,,
STNGMJN,MIDDLE JN (SITTINGBOURNE),junction,51.361843481278356,0.7350205554340018
STNLSAS,STANLOW SHELL ARR SDGS,junction,53.27843077089998,-2.8461471233867104
ROHL,ROSE HILL MARPLE,station,53.395817181745606,-2.0766110031882734
FRTMTLD,FORT MATILDA,station,55.958891920543564,-4.79540166682176
MLTBCGB,MALTBY COLLIERY (GBRf),junction,53.43081683477152,-1.1656962892588505
REDBJN,REDBRIDGE JUNCTION,junction,50.92020697666143,-1.4720346288372272
ALSCTSW,ALLSCOTT SDGS,junction,52.70949856127119,-2.5708138299787686
SDEPFA,SEL. D. FORK ARRIVAL,junction,51.39199022361351,-0.0785085972470161
PRKADIL,PARKANDILLACK,junction,50.37703220505861,-4.89029292246216
HWRDJN,WESTBURY (WILTS),station,51.270875121786496,-2.1785999724624454
LEAJ,LEA JUNCTION,junction,51.54328794332018,-0.016171066961789812
SHAPHNS,SHAP HARRISONS SDGS LOOP,junction,54.54760619327207,-2.6897896875268787
NTHNDJ8,NORTHENDEN SIG NJ8,junction,53.3987256633303,-2.250004580627662
SHAPHNQ,SHAP HARRISONS QRY GBRF,junction,54.54760619327207,-2.6897896875268787
WALKDEN,WALKDEN,station,53.51977593828357,-2.395551839250117
LESAORL,LES AUBRAIS-ORLEANS,junction,,
WLSD303,WILLESDEN SIGNAL 303,junction,51.54623188594884,-0.28753112902791256
WATRBAL,WATERLOO (BALLAST),junction,51.49605993587356,-0.11548237444356196
KESWICK,KESWICK (BUS STATION),junction,,
TALN544,TALLINGTON SIGNAL P544,junction,52.69871372821817,-0.4521097244287029
GLHM,GILLINGHAM (DORSET),station,51.03405150104487,-2.272267279263017
NAPCENT,NAPOLI CENTRALE,junction,,
SOUT087,SOUTHPORT SIGNAL 1087,junction,53.64607385290917,-3.0017434353875263
FAYGBUS,FAYGATE (POLICE HOUSE),junction,,
SHRNSDG,SHEERNESS SIDINGS,junction,51.43806076031764,0.754466950856084
HLYHDLS,HOLYHEAD L.I.P.,junction,53.296680503046154,-4.606673238310612
MOTO,MORETON (MERSEYSIDE),station,53.40725053168678,-3.1134429505905614
LLNWTMR,LLANTWIT MAJOR,station,51.40957036135277,-3.4812807386244993
LRKFLDJ,LARKFIELD JN,junction,55.84203811484482,-4.2582610308099955
TIGNGRC,TEIGNGRACE,junction,50.55634996965487,-3.6256961036175905
