routeId,location,arrival,departure,passedThrough,position
L97832,WCROYDN,,0750,,0
L97832,SELHGRJ,,,0752,1
L97832,NORWDJ,0754,0754H,,2
L97832,ANERLEY,0757,0757H,,3
L97832,PENEW,0759,0759H,,4
L97832,SYDENHM,0801H,0802,,5
L97832,FORESTH,0804,0804H,,6
L97832,HONROPK,0806H,0807,,7
L97832,BROCKLY,0809,0809H,,8
L97832,NEWXGTE,0811H,0812,,9
L97832,CANALJ,,,0813H,10
L97832,SURRQSJ,,,0814H,11
L97832,SURREYQ,0815,0815H,,12
L97832,CNDAW,0816H,0817H,,13
L97832,RTHERHI,0818H,0819,,14
L97832,WAPPING,0820,0820H,,15
L97832,SHADWEL,0822,0822H,,16
L97832,WCHAPEL,0824,0825,,17
L97832,SHRDHST,0826H,0827,,18
L97832,HOXTON,0828H,0829,,19
L97832,HAGGERS,0830H,0831,,20
L97832,DALS,0832H,0833H,,21
L97832,CNNBELL,0835H,0836,,22
L97832,HIGHBYE,0838,,,23
W72442,HORSHAM,,0653,,0
W72442,WARNHAM,0656H,0657,,1
W72442,OCKLYAC,0703H,0704,,2
W72442,HLMW,0707H,0708,,3
W72442,DORKING,0714,0715,,4
W72442,LETHRHD,0721H,0722,,5
W72442,ASHD,0725,0725H,,6
W72442,EPSM,0729H,0730H,,7
W72442,CHEAM,0735H,0736,,8
W72442,SUTTON,0739,0740H,,9
W72442,CRSHLTN,0743,0743H,,10
W72442,MITCHMJ,0747H,0748,,11
W72442,ESTFLDS,0751,0751H,,12
W72442,STRESJN,,,0753H,13
W72442,STRENJN,,,0756H,14
W72442,BALHAM,0759H,0800H,,15
W72442,CLPHMJC,0804,0805,,16
W72442,BATRSPK,,,0808,17
W72442,BATRSPJ,,,0808H,18
W72442,VICTRIC,0812,,,19
W75012,EPSDNS,,0704,,0
W75012,BANSTED,0707,0707H,,1
W75012,BELM,0710,0710H,,2
W75012,SUTTON,0713,0715,,3
W75012,CRSHLTB,0717H,0718,,4
W75012,WALNGTN,0720,0720H,,5
W75012,WADDON,0723,0723H,,6
W75012,WCROYDN,0726,0727,,7
W75012,SELHGRJ,,,0729,8
W75012,SELHRST,0731,0732,,9
W75012,THTH,0733H,0734,,10
W75012,NORBURY,0736H,0737,,11
W75012,STRHCOM,0739,0739H,,12
W75012,STRENJN,,,0740H,13
W75012,BALHAM,0743,0744,,14
W75012,CLPHMJC,0749,0750,,15
W75012,BATRSPK,0753,0753H,,16
W75012,BATRSPJ,,,0754H,17
W75012,VICTRIC,0758,,,18
G73438,SUTTON,,0740,,0
G73438,WSUTTON,0742H,0743,,1
G73438,SUTTONC,0745,0745H,,2
G73438,SHLIER,0747H,0748,,3
G73438,MORDENS,0749H,0750,,4
G73438,SMERTON,0751H,0752,,5
G73438,WIMLCHS,0753H,0754,,6
G73438,WIMBLDN,0757,0800,,7
G73438,HYDNSRD,0802,0802H,,8
G73438,TOOTING,0805,0805H,,9
G73438,STRESJN,,,0810,10
G73438,STRETHM,0811H,0812H,,11
G73438,TULSEH,0816,0817,,12
G73438,HERNEH,0820,0821,,13
G73438,LBGHJN,0824,0824H,,14
G73438,ELPHNAC,0828,0829,,15
G73438,SWKBDGJ,,,0830,16
G73438,BLFRJN,,,0831,17
G73438,BLFR,0833,0836,,18
G73438,CTMSLNK,0837H,0838H,,19
G73438,FRNDNLT,0840H,0841H,,20
G73438,STPXBOX,0845,0846H,,21
G73438,DOKJNSP,,,0848,22
G73438,KNTSHTN,,,0849H,23
G73438,CTRDJN,,,0850H,24
G73438,WHMPSJN,,,0852H,25
G73438,WHMPSTM,,,0853,26
G73438,HDON,,,0856,27
G73438,RADLETJ,,,0901H,28
G73438,STALBCY,0906H,0907H,,29
G73438,HRPNDNJ,,,0911H,30
G73438,HRPNDN,0912H,0913,,31
G73438,LUTOAPY,0918,0919,,32
G73438,LUTON,0921,0922,,33
G73438,LEAGRVE,0925H,0926,,34
G73438,LEAGRVJ,,,0926H,35
G73438,HRLG,0930H,0931,,36
G73438,FLITWCK,0934H,0935,,37
G73438,BEDFDS,,,0945,38
G73438,BEDFDM,0949,,,39
W75645,SUTTON,,0630,,0
W75645,CHEAM,0632,0632H,,1
W75645,EWELLE,0635H,0636,,2
W75645,EPSM,0640,0642,,3
W75645,LETHRHD,0648H,0651,,4
W75645,BOOKHAM,0656H,0657,,5
W75645,EFNGHMJ,0700,0701,,6
W75645,GUILDFD,0713,,,7
W75646,EPSM,,0720,,0
W75646,EWELLE,0723H,0724,,1
W75646,CHEAM,0726H,0727,,2
W75646,SUTTON,0729H,0730H,,3
W75646,CRSHLTB,0733,0734,,4
W75646,WALNGTN,0736,0737,,5
W75646,WADDON,0739H,0740,,6
W75646,WCROYDN,0742H,0743H,,7
W75646,SELHGRJ,,,0745H,8
W75646,NORWDJ,0747H,0748H,,9
W75646,SYDENHM,,,0752H,10
W75646,NEWXGTE,,,0802H,11
W75646,BRCKLAJ,,,0803H,12
